gene,mean,variance,fraction_FPKM_ge_0_1
AC011899.9,-0.961668582235103,0.5139941935947262,0.9777777777777777
AC012075.2,-3.129367200690691,0.4125440930189202,0.06222222222222222
AC012494.1,-3.304459287979875,0.007190247684133312,0.0
AC012507.3,-3.2917428984675285,0.010311984306118712,0.0
AC016582.2,-2.6918162762812905,0.5568670564461314,0.23555555555555555
AC016629.8,-0.2888478054671108,0.3764952277142234,1.0
AC016738.3,-3.211154241355874,0.06883791632535272,0.017777777777777778
AC016910.1,-3.2082064486109934,0.06328448157362808,0.017777777777777778
AC016995.3,-2.3651492905343265,0.5796876892480938,0.4311111111111111
AC017060.1,-2.788629679123378,1.2095041957282255,0.25333333333333335
AC018464.3,-3.1357922091525654,0.27221865777911225,0.08
AC018470.4,-2.923408576958633,0.35405713767472796,0.09777777777777778
AC018647.3,-2.855237053976358,0.3085174835988822,0.17777777777777778
AC018705.5,-3.0671595952811463,0.7969380466109632,0.08444444444444445
AC018742.1,-3.280295649307724,0.0192605051563752,0.0
AC018799.1,-3.3056377210023435,0.010017271691869658,0.0
AC019048.1,-3.249478497650483,0.06366078275780941,0.017777777777777778
AC019117.1,-2.563526834850781,1.451046363681863,0.24888888888888888
AC020571.3,-1.05832754009594,1.699970568362938,0.8577777777777778
AC022007.5,0.003670485396888375,0.665316988780492,1.0
AC022173.2,-3.2019430408678895,0.12736670154105054,0.04888888888888889
AC068831.10,-2.377527346130643,0.29993786330876115,0.40444444444444444
AC068858.1,-3.198112861168907,0.07463211824744469,0.017777777777777778
AC069277.1,-3.29633471410645,0.03667462816828237,0.017777777777777778
AC072062.1,-2.0312539083177885,0.5155709264302932,0.6755555555555556
AC073128.10,-3.278576347996867,0.024590748132794604,0.0044444444444444444
AC073133.1,-2.99617132659084,0.1500800862970252,0.06222222222222222
AC073283.4,-0.9624955149998542,1.273701316752643,0.8888888888888888
AC073321.3,-3.3037682683743563,0.006055473736343771,0.0
AC073628.1,-3.321928094887349,1.232595164407831e-28,0.0
AC074286.1,-1.1068638744615162,0.3909291600375888,0.9644444444444444
AC078941.1,-3.1855231836198663,0.10983963065502808,0.013333333333333334
AC079117.1,-3.3155393912833127,0.004552332739235896,0.0
AC079145.4,-1.3984744574811139,1.2662544986470856,0.7777777777777778
AC079610.2,-3.074711488303999,0.10213169378598506,0.022222222222222223
AC079776.3,-2.8996874152526093,0.10661500013191498,0.05333333333333334
AC084125.4,-1.464951233574964,0.3849407819497204,0.92
